1,,10头
2,,8头
3,,6头
4,,12头
5,,13-17头
6,,见备注
7,,0.4-0.6
8,,0.7-0.8
9,,0.9-1.1
10,,1.2-1.4
11,,1.5-1.7
12,,1.8-2.0
13,,2.1以上
15,,大
16,,中
17,,小
18,,中A8
19,,中B8
20,,大C8
21,,中C10
22,,大C8
23,,大C6
26,,F801
27,,F805
30,,F901
31,,F905
